Special_Occasion,Day,Month,Year,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Wastage_1,Meal_2,Wastage_2,Meal_3,Wastage_3,Type_Of_Meal,Total Wastage
Regular,4,12,2017,0,No,M,Y,X,WW,0,ZZ1,0,YY2,0,B,0
Regular,4,12,2017,1,No,X,O,L,XX,516,YY1,774,WW2,1032,B,2322
Regular,4,12,2017,2,No,Y,X,N,WW,350,WW1,525,LL2,700,B,1575
Regular,4,12,2017,3,No,O,L,O,YY,266,WW1,399,LL2,532,B,1197
Regular,4,12,2017,0,No,Z,L,N,WW,0,XX1,0,LL2,0,L,0
Regular,4,12,2017,1,No,L,Z,W,YY,498,XX1,747,XX2,996,L,2241
Regular,4,12,2017,2,No,Y,W,Z,YY,144,LL1,216,WW2,288,L,648
Regular,4,12,2017,3,Yes,L,Z,N,LL,0,LL1,0,MM2,0,L,0
Regular,4,12,2017,0,No,Y,N,L,YY,240,MM1,360,ZZ2,480,D,1080
Regular,4,12,2017,1,No,N,O,Z,XX,10,XX1,15,MM2,20,D,45
Regular,4,12,2017,2,No,Z,O,W,XX,274,WW1,411,LL2,548,D,1233
Regular,4,12,2017,3,Yes,Y,X,Y,MM,166,YY1,249,XX2,332,D,747
Regular,12,3,2018,0,No,O,W,O,XX,486,YY1,729,MM2,972,B,2187
Regular,12,3,2018,1,No,N,Z,Y,ZZ,118,ZZ1,177,XX2,236,B,531
Regular,12,3,2018,2,Yes,Z,X,L,XX,42,LL1,63,XX2,84,B,189
Regular,12,3,2018,3,No,W,M,L,MM,4,ZZ1,6,YY2,8,B,18
Regular,12,3,2018,0,No,Y,X,O,WW,248,XX1,372,LL2,496,L,1116
Regular,12,3,2018,1,No,X,N,O,YY,470,LL1,705,XX2,940,L,2115
Regular,12,3,2018,2,Yes,L,L,L,ZZ,134,MM1,201,MM2,268,L,603
Regular,12,3,2018,3,Yes,M,X,X,ZZ,220,LL1,330,YY2,440,L,990
Regular,12,3,2018,0,Yes,O,W,L,WW,328,XX1,492,XX2,656,D,1476
Regular,12,3,2018,1,No,O,O,M,WW,56,MM1,84,MM2,112,D,252
Regular,12,3,2018,2,No,Y,Y,Z,LL,126,LL1,189,ZZ2,252,D,567
Regular,12,3,2018,3,No,O,N,M,YY,86,ZZ1,129,LL2,172,D,387
