Special_Occasion,Date,No_of_Students_in_Hostel,No_of_Actual_Diners,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Meal_2,Meal_3,Type_Of_Meal
Regular,04-12-2017,581,590,0,No,M,Y,X,WW,ZZ1,YY2,B
Regular,04-12-2017,660,402,1,No,X,O,L,XX,YY1,WW2,B
Regular,04-12-2017,588,413,2,No,Y,X,N,WW,WW1,LL2,B
Regular,04-12-2017,605,472,3,No,O,L,O,YY,WW1,LL2,B
Regular,04-12-2017,524,595,0,No,Z,L,N,WW,XX1,LL2,L
Regular,04-12-2017,697,448,1,No,L,Z,W,YY,XX1,XX2,L
Regular,04-12-2017,571,499,2,No,Y,W,Z,YY,LL1,WW2,L
Regular,04-12-2017,500,551,3,Yes,L,Z,N,LL,LL1,MM2,L
Regular,04-12-2017,654,534,0,No,Y,N,L,YY,MM1,ZZ2,D
Regular,04-12-2017,522,517,1,No,N,O,Z,XX,XX1,MM2,D
Regular,04-12-2017,671,534,2,No,Z,O,W,XX,WW1,LL2,D
Regular,04-12-2017,520,437,3,Yes,Y,X,Y,MM,YY1,XX2,D
Regular,12-03-2018,678,435,0,No,O,W,O,XX,YY1,MM2,B
Regular,12-03-2018,656,597,1,No,N,Z,Y,ZZ,ZZ1,XX2,B
Regular,12-03-2018,526,505,2,Yes,Z,X,L,XX,LL1,XX2,B
Regular,12-03-2018,530,528,3,No,W,M,L,MM,ZZ1,YY2,B
Regular,12-03-2018,634,510,0,No,Y,X,O,WW,XX1,LL2,L
Regular,12-03-2018,677,442,1,No,X,N,O,YY,LL1,XX2,L
Regular,12-03-2018,619,552,2,Yes,L,L,L,ZZ,MM1,MM2,L
Regular,12-03-2018,555,445,3,Yes,M,X,X,ZZ,LL1,YY2,L
Regular,12-03-2018,599,435,0,Yes,O,W,L,WW,XX1,XX2,D
Regular,12-03-2018,565,537,1,No,O,O,M,WW,MM1,MM2,D
Regular,12-03-2018,577,514,2,No,Y,Y,Z,LL,LL1,ZZ2,D
Regular,12-03-2018,562,519,3,No,O,N,M,YY,ZZ1,LL2,D
Regular,05-12-2017,503,521,0,No,Z,Y,X,ZZ,WW1,MM2,B
Regular,05-12-2017,596,586,1,Yes,Y,X,Y,WW,LL1,WW2,B
Regular,05-12-2017,504,530,2,No,M,O,X,WW,XX1,WW2,B
Regular,05-12-2017,542,470,3,No,Z,Y,Z,XX,WW1,YY2,B
Regular,05-12-2017,528,412,0,Yes,W,O,M,YY,MM1,LL2,L
Regular,05-12-2017,501,519,1,Yes,O,W,O,YY,LL1,MM2,L
Regular,05-12-2017,589,579,2,No,Z,N,N,XX,ZZ1,YY2,L
Regular,05-12-2017,673,537,3,No,X,M,M,WW,WW1,YY2,L
Regular,05-12-2017,510,551,0,No,M,Y,X,YY,LL1,ZZ2,D
Regular,05-12-2017,512,427,1,No,L,X,X,XX,MM1,MM2,D
Regular,05-12-2017,627,509,2,No,M,Y,X,MM,YY1,WW2,D
Regular,05-12-2017,572,454,3,No,X,Y,Y,WW,WW1,ZZ2,D
Regular,03-07-2017,574,492,0,Yes,O,N,X,XX,MM1,WW2,B
Regular,03-07-2017,504,551,1,Yes,L,L,Y,XX,WW1,YY2,B
Regular,03-07-2017,637,475,2,No,N,Z,L,MM,YY1,ZZ2,B
Regular,03-07-2017,660,461,3,No,N,N,Z,ZZ,XX1,ZZ2,B
Regular,03-07-2017,644,527,0,Yes,Z,Y,X,ZZ,MM1,ZZ2,L
Regular,03-07-2017,511,531,1,Yes,L,M,Y,LL,XX1,ZZ2,L
Regular,03-07-2017,606,521,2,No,Z,M,O,MM,WW1,MM2,L
Regular,03-07-2017,538,436,3,No,N,N,M,YY,XX1,YY2,L
Regular,03-07-2017,597,437,0,No,N,M,Y,WW,ZZ1,YY2,D
Regular,03-07-2017,512,502,1,Yes,O,Y,O,LL,XX1,YY2,D
Regular,03-07-2017,581,469,2,No,M,M,Y,XX,YY1,XX2,D
Regular,03-07-2017,671,590,3,No,N,X,Z,YY,ZZ1,MM2,D
Sem-Break,20-01-2018,645,578,0,No,Y,N,L,WW,XX1,XX2,B
Sem-Break,20-01-2018,684,585,1,Yes,X,Y,Z,XX,WW1,YY2,B
Sem-Break,20-01-2018,663,494,2,No,L,O,N,MM,WW1,ZZ2,B
Sem-Break,20-01-2018,570,418,3,No,X,Z,Y,LL,ZZ1,XX2,B
Sem-Break,20-01-2018,596,507,0,No,L,X,X,ZZ,WW1,WW2,L
Sem-Break,20-01-2018,542,561,1,No,Y,X,M,ZZ,YY1,ZZ2,L
Sem-Break,20-01-2018,666,511,2,Yes,M,W,L,WW,WW1,XX2,L
Sem-Break,20-01-2018,620,487,3,No,N,Y,Y,YY,LL1,ZZ2,L
Sem-Break,20-01-2018,645,595,0,No,Z,W,O,MM,WW1,WW2,D
Sem-Break,20-01-2018,643,408,1,Yes,O,M,N,WW,XX1,ZZ2,D
Sem-Break,20-01-2018,688,463,2,No,Z,M,N,XX,YY1,WW2,D
Sem-Break,20-01-2018,638,471,3,No,Y,W,L,WW,ZZ1,MM2,D
Regular,16-06-2017,529,512,0,No,W,W,M,YY,MM1,MM2,B
Regular,16-06-2017,624,487,1,No,M,M,X,MM,XX1,YY2,B
Regular,16-06-2017,611,525,2,No,M,M,X,WW,MM1,LL2,B
Regular,16-06-2017,641,511,3,Yes,L,M,M,XX,YY1,XX2,B
Regular,16-06-2017,604,507,0,No,L,W,L,ZZ,YY1,YY2,L
Regular,16-06-2017,507,400,1,No,L,Y,Z,WW,WW1,WW2,L
Regular,16-06-2017,696,407,2,No,L,O,W,ZZ,ZZ1,XX2,L
Regular,16-06-2017,588,537,3,No,M,W,O,ZZ,XX1,ZZ2,L
Regular,16-06-2017,588,563,0,No,N,L,W,MM,WW1,LL2,D
Regular,16-06-2017,567,451,1,Yes,Y,O,O,MM,LL1,WW2,D
Regular,16-06-2017,680,467,2,No,Y,L,Y,XX,YY1,YY2,D
Regular,16-06-2017,541,557,3,No,L,W,N,WW,MM1,ZZ2,D
Other-Holidays,22-02-2018,503,537,0,No,N,X,O,ZZ,ZZ1,ZZ2,B
Other-Holidays,22-02-2018,681,483,1,No,O,O,Y,YY,LL1,LL2,B
Other-Holidays,22-02-2018,621,592,2,Yes,M,Y,Y,LL,MM1,MM2,B
