Special_Occasion,Date,No_of_Students_in_Hostel,No_of_Actual_Diners,Mess_No,New_Menu,Food_Prepared_By1,Food_Prepared_By2,Food_Prepared_By3,Meal_1,Wastage_1,Meal_2,Wastage_2,Meal_3,Wastage_3,Type_Of_Meal,Total Wastage
Regular,04-12-17,581,590,0,No,M,Y,X,WW,0,ZZ1,0,YY2,0,B,0
Regular,04-12-17,660,402,1,No,X,O,L,XX,516,YY1,774,WW2,1032,B,2322
Regular,04-12-17,588,413,2,No,Y,X,N,WW,350,WW1,525,LL2,700,B,1575
Regular,04-12-17,605,472,3,No,O,L,O,YY,266,WW1,399,LL2,532,B,1197
Regular,04-12-17,524,595,0,No,Z,L,N,WW,0,XX1,0,LL2,0,L,0
Regular,04-12-17,697,448,1,No,L,Z,W,YY,498,XX1,747,XX2,996,L,2241
Regular,04-12-17,571,499,2,No,Y,W,Z,YY,144,LL1,216,WW2,288,L,648
Regular,04-12-17,500,551,3,Yes,L,Z,N,LL,0,LL1,0,MM2,0,L,0
Regular,04-12-17,654,534,0,No,Y,N,L,YY,240,MM1,360,ZZ2,480,D,1080
Regular,04-12-17,522,517,1,No,N,O,Z,XX,10,XX1,15,MM2,20,D,45
Regular,04-12-17,671,534,2,No,Z,O,W,XX,274,WW1,411,LL2,548,D,1233
Regular,04-12-17,520,437,3,Yes,Y,X,Y,MM,166,YY1,249,XX2,332,D,747
Regular,12-03-18,678,435,0,No,O,W,O,XX,486,YY1,729,MM2,972,B,2187
Regular,12-03-18,656,597,1,No,N,Z,Y,ZZ,118,ZZ1,177,XX2,236,B,531
Regular,12-03-18,526,505,2,Yes,Z,X,L,XX,42,LL1,63,XX2,84,B,189
Regular,12-03-18,530,528,3,No,W,M,L,MM,4,ZZ1,6,YY2,8,B,18
Regular,12-03-18,634,510,0,No,Y,X,O,WW,248,XX1,372,LL2,496,L,1116
Regular,12-03-18,677,442,1,No,X,N,O,YY,470,LL1,705,XX2,940,L,2115
Regular,12-03-18,619,552,2,Yes,L,L,L,ZZ,134,MM1,201,MM2,268,L,603
Regular,12-03-18,555,445,3,Yes,M,X,X,ZZ,220,LL1,330,YY2,440,L,990
Regular,12-03-18,599,435,0,Yes,O,W,L,WW,328,XX1,492,XX2,656,D,1476
Regular,12-03-18,565,537,1,No,O,O,M,WW,56,MM1,84,MM2,112,D,252
Regular,12-03-18,577,514,2,No,Y,Y,Z,LL,126,LL1,189,ZZ2,252,D,567
Regular,12-03-18,562,519,3,No,O,N,M,YY,86,ZZ1,129,LL2,172,D,387
Regular,05-12-17,503,521,0,No,Z,Y,X,ZZ,0,WW1,0,MM2,0,B,0
Regular,05-12-17,596,586,1,Yes,Y,X,Y,WW,20,LL1,30,WW2,40,B,90
Regular,05-12-17,504,530,2,No,M,O,X,WW,0,XX1,0,WW2,0,B,0
Regular,05-12-17,542,470,3,No,Z,Y,Z,XX,144,WW1,216,YY2,288,B,648
Regular,05-12-17,528,412,0,Yes,W,O,M,YY,232,MM1,348,LL2,464,L,1044
Regular,05-12-17,501,519,1,Yes,O,W,O,YY,0,LL1,0,MM2,0,L,0
Regular,05-12-17,589,579,2,No,Z,N,N,XX,20,ZZ1,30,YY2,40,L,90
Regular,05-12-17,673,537,3,No,X,M,M,WW,272,WW1,408,YY2,544,L,1224
Regular,05-12-17,510,551,0,No,M,Y,X,YY,0,LL1,0,ZZ2,0,D,0
Regular,05-12-17,512,427,1,No,L,X,X,XX,170,MM1,255,MM2,340,D,765
Regular,05-12-17,627,509,2,No,M,Y,X,MM,236,YY1,354,WW2,472,D,1062
Regular,05-12-17,572,454,3,No,X,Y,Y,WW,236,WW1,354,ZZ2,472,D,1062
Regular,03-07-17,574,492,0,Yes,O,N,X,XX,164,MM1,246,WW2,328,B,738
Regular,03-07-17,504,551,1,Yes,L,L,Y,XX,0,WW1,0,YY2,0,B,0
Regular,03-07-17,637,475,2,No,N,Z,L,MM,324,YY1,486,ZZ2,648,B,1458
Regular,03-07-17,660,461,3,No,N,N,Z,ZZ,398,XX1,597,ZZ2,796,B,1791
Regular,03-07-17,644,527,0,Yes,Z,Y,X,ZZ,234,MM1,351,ZZ2,468,L,1053
Regular,03-07-17,511,531,1,Yes,L,M,Y,LL,0,XX1,0,ZZ2,0,L,0
Regular,03-07-17,606,521,2,No,Z,M,O,MM,170,WW1,255,MM2,340,L,765
Regular,03-07-17,538,436,3,No,N,N,M,YY,204,XX1,306,YY2,408,L,918
Regular,03-07-17,597,437,0,No,N,M,Y,WW,320,ZZ1,480,YY2,640,D,1440
Regular,03-07-17,512,502,1,Yes,O,Y,O,LL,20,XX1,30,YY2,40,D,90
Regular,03-07-17,581,469,2,No,M,M,Y,XX,224,YY1,336,XX2,448,D,1008
Regular,03-07-17,671,590,3,No,N,X,Z,YY,162,ZZ1,243,MM2,324,D,729
Sem_Break,20-01-18,645,578,0,No,Y,N,L,WW,134,XX1,201,XX2,268,B,603
Sem_Break,20-01-18,684,585,1,Yes,X,Y,Z,XX,198,WW1,297,YY2,396,B,891
Sem_Break,20-01-18,663,494,2,No,L,O,N,MM,338,WW1,507,ZZ2,676,B,1521
Sem_Break,20-01-18,570,418,3,No,X,Z,Y,LL,304,ZZ1,456,XX2,608,B,1368
Sem_Break,20-01-18,596,507,0,No,L,X,X,ZZ,178,WW1,267,WW2,356,L,801
Sem_Break,20-01-18,542,561,1,No,Y,X,M,ZZ,0,YY1,0,ZZ2,0,L,0
Sem_Break,20-01-18,666,511,2,Yes,M,W,L,WW,310,WW1,465,XX2,620,L,1395
Sem_Break,20-01-18,620,487,3,No,N,Y,Y,YY,266,LL1,399,ZZ2,532,L,1197
Sem_Break,20-01-18,645,595,0,No,Z,W,O,MM,100,WW1,150,WW2,200,D,450
Sem_Break,20-01-18,643,408,1,Yes,O,M,N,WW,470,XX1,705,ZZ2,940,D,2115
Sem_Break,20-01-18,688,463,2,No,Z,M,N,XX,450,YY1,675,WW2,900,D,2025
Sem_Break,20-01-18,638,471,3,No,Y,W,L,WW,334,ZZ1,501,MM2,668,D,1503
Regular,16-06-17,529,512,0,No,W,W,M,YY,34,MM1,51,MM2,68,B,153
Regular,16-06-17,624,487,1,No,M,M,X,MM,274,XX1,411,YY2,548,B,1233
